Name,Industry,Founded,Headquarters,Country,CEO,Employees,Revenue,Assets,Profits
Cathay Financial,Insurance,1975,Taipei,Taiwan,,56031,$8.7B,$392.3B,$1.3B
NAB - National Australia Bank,Banking,1981,Melbourne,Australia,Ross Maxwell McEwan,35558,$26.3B,$702.1B,$5B
China Vanke,Construction,1984,Shenzhen,China,Jiu Sheng Zhu,131817,$75.6B,$253.7B,$3.3B
Telefónica,Telecommunications Services,1924,Madrid,Spain,José María Álvarez-Pallete López,104150,$42B,$117B,$2.1B
Dow,"Construction, Oil & Gas Operations, Mining and Chemicals",1897,"Midland, Michigan",United States,Jim Fitterling,37800,$53.5B,$59.3B,$2.9B
HCA Healthcare,Healthcare & Social,1968,"Nashville, Tennessee",United States,Samuel N. Hazen,275000,$60.9B,$52.7B,$5.7B
China Telecom Corp,,,,,,,,,
Fubon Financial,Insurance,2001,Taipei,Taiwan,Yue Ting Han,42560,$9.8B,$349.1B,$471M
ANZ,Banking,1835,Docklands,Australia,Shayne Cary Elliott,39196,$28.3B,$744.2B,$4.9B
Micron Technology,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1978,"Boise, Idaho",United States,Sanjay Mehrotra,40000,$23.1B,$66.5B,$1.6B
Poly Developments & Holdings Group,Construction,1992,Guangzhou,China,Dong Li Zhou,67260,$40.1B,$210.7B,$2.7B
Canadian Imperial Bank,Banking,1867,Toronto,Canada,Victor Dodig,50427,$28.8B,$691B,$3.7B
ArcelorMittal,Materials,2006,Luxembourg,Luxembourg,Aditya Mittal,154352,$79.5B,$94.5B,$9B
Linde,Chemicals,1879,Woking,United Kingdom,Sanjiv Lamba,65010,$33.3B,$80.3B,$4.5B
Mizuho Financial,Banking,2003,Tokyo,Japan,Masahiro Kihara,52420,$32B,$1.9T,$4.5B
Honeywell International,"Engineering, Manufacturing",1927,"Charlotte, North Carolina",United States,Vimal Kapur,34000,$35.9B,$59.9B,$5.2B
ING Group,Banking,1988,Amsterdam,Netherlands,Steven van Rijswijk,60778,$19.5B,$1T,$3.9B
Accenture,Professional Services,1989,Dublin,Ireland,Julie Spellman Sweet,732000,$63.1B,$47.7B,$6.9B
Banco Bradesco,Banking,1943,Osasco,Brazil,Octávio de Lazari Jr.,88381,$56.3B,$357.5B,$3.5B
Anglo American,Materials,1917,London,United Kingdom,Duncan Graham Wanblad,62350,$35.1B,$67.4B,$4.4B
E.ON,Utilities,2000,Essen,Germany,Leonhard Birnbaum,69378,$121.6B,$163.5B,$1.9B
América Móvil,Telecommunications Services,2000,Mexico City,Mexico,Daniel Hajj Aboumrad,176014,$43.6B,$88.2B,$3.8B
Tokio Marine Holdings,Insurance,1879,Tokyo,Japan,Satoru Komiya,43048,$48.7B,$216.9B,$2.4B
VINCI,Construction,1899,Nanterre Cedex,France,Xavier Huillard,270000,$65.4B,$119.5B,$4.5B
Dell Technologies,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1984,"Round Rock, Texas",United States,Michael Saul Dell,42560,$101.6B,$89.6B,$2.4B
Duke Energy,Utilities,1904,"Charlotte, North Carolina",United States,Lynn J. Good,28000,$29.1B,$183.3B,$2.7B
Westpac Banking Group,Banking,1817,Sydney,Australia,Peter Francis King,37476,$18.7B,$653.1B,$4.1B
BlackRock,Diversified Financials,1988,"New York, New York",United States,Larry Fink,19800,$17.4B,$121.4B,$4.9B
Lockheed Martin,Aerospace & Defense,1912,"Bethesda, Maryland",United States,Jim Taiclet Jr.,106020,$66.1B,$54.6B,$5.7B
ENGIE,Utilities,2008,Paris,France,Catherine MacGregor,171474,$98.7B,$251.3B,$228.1M
SK Hynix,Semiconductors,1949,Icheon,South Korea,Seok-Hee Lee,30135,$34.5B,$82.1B,$1.7B
SAP,"IT, Internet, Software & Services",1972,Walldorf,Germany,Christian Klein,111961,$32.5B,$79.9B,$2.1B
Medtronic,Health Care Equipment & Services,1949,Dublin,Ireland,Geoffrey Straub Martha,95000,$30.8B,$94.1B,$4.1B
Lukoil,Oil & Gas Operations,1991,,Russia,,,$125.1B,$92.5B,$10.5B
PNC Financial Services,Banking and Financial Services,1845,"Pittsburgh, Pennsylvania",United States,William Stanton Demchak,59426,$26.2B,$561.8B,$6.3B
